"date","recession","SPY","IWM","TLT","LTPZ","GLD","UUP","HAP","JPM","BA","three_month_yield","six_month_yield","one_year_yield","two_year_yield","three_year_yield","five_year_yield","seven_year_yield","ten_year_yield","twenty_year_yield","thirty_year_yield"
1962-01-02,0,NA,NA,NA,NA,NA,NA,NA,NA,0.823045015335083,NA,NA,3.22,NA,3.7,3.88,NA,4.06,4.07,NA
1962-01-03,0,NA,NA,NA,NA,NA,NA,NA,NA,0.839505970478058,NA,NA,3.24,NA,3.7,3.87,NA,4.03,4.07,NA
1962-01-04,0,NA,NA,NA,NA,NA,NA,NA,NA,0.831275999546051,NA,NA,3.24,NA,3.69,3.86,NA,3.99,4.06,NA
1962-01-05,0,NA,NA,NA,NA,NA,NA,NA,NA,0.814814984798431,NA,NA,3.26,NA,3.71,3.89,NA,4.02,4.07,NA
1962-01-08,0,NA,NA,NA,NA,NA,NA,NA,NA,0.816872000694275,NA,NA,3.31,NA,3.71,3.91,NA,4.03,4.08,NA
1962-01-09,0,NA,NA,NA,NA,NA,NA,NA,NA,0.818929970264435,NA,NA,3.32,NA,3.74,3.93,NA,4.05,4.08,NA
1962-01-10,0,NA,NA,NA,NA,NA,NA,NA,NA,0.818929970264435,NA,NA,3.33,NA,3.75,3.94,NA,4.07,4.09,NA
1962-01-11,0,NA,NA,NA,NA,NA,NA,NA,NA,0.827160000801086,NA,NA,3.33,NA,3.77,3.94,NA,4.08,4.08,NA
1962-01-12,0,NA,NA,NA,NA,NA,NA,NA,NA,0.849793970584869,NA,NA,3.3,NA,3.76,3.95,NA,4.08,4.09,NA
1962-01-15,0,NA,NA,NA,NA,NA,NA,NA,NA,0.833333015441895,NA,NA,3.32,NA,3.79,3.96,NA,4.1,4.1,NA
1962-01-16,0,NA,NA,NA,NA,NA,NA,NA,NA,0.827160000801086,NA,NA,3.3,NA,3.81,3.98,NA,4.13,4.11,NA
1962-01-17,0,NA,NA,NA,NA,NA,NA,NA,NA,0.829217970371246,NA,NA,3.3,NA,3.81,3.97,NA,4.12,4.1,NA
1962-01-18,0,NA,NA,NA,NA,NA,NA,NA,NA,0.833333015441895,NA,NA,3.27,NA,3.79,3.96,NA,4.11,4.1,NA
1962-01-19,0,NA,NA,NA,NA,NA,NA,NA,NA,0.872427999973297,NA,NA,3.27,NA,3.78,3.95,NA,4.11,4.1,NA
1962-01-22,0,NA,NA,NA,NA,NA,NA,NA,NA,0.870369970798492,NA,NA,3.25,NA,3.76,3.93,NA,4.09,4.09,NA
1962-01-23,0,NA,NA,NA,NA,NA,NA,NA,NA,0.872427999973297,NA,NA,3.25,NA,3.77,3.94,NA,4.11,4.1,NA
1962-01-24,0,NA,NA,NA,NA,NA,NA,NA,NA,0.876542985439301,NA,NA,3.24,NA,3.76,3.93,NA,4.1,4.1,NA
1962-01-25,0,NA,NA,NA,NA,NA,NA,NA,NA,0.897118985652924,NA,NA,3.27,NA,3.77,3.94,NA,4.11,4.12,NA
1962-01-26,0,NA,NA,NA,NA,NA,NA,NA,NA,0.89300400018692,NA,NA,3.28,NA,3.8,3.97,NA,4.11,4.12,NA
1962-01-29,0,NA,NA,NA,NA,NA,NA,NA,NA,0.897118985652924,NA,NA,3.28,NA,3.8,3.98,NA,4.12,4.13,NA
1962-01-30,0,NA,NA,NA,NA,NA,NA,NA,NA,0.905350029468536,NA,NA,3.28,NA,3.8,3.98,NA,4.11,4.13,NA
1962-01-31,0,NA,NA,NA,NA,NA,NA,NA,NA,0.923868000507355,NA,NA,3.29,NA,3.81,3.99,NA,4.1,4.13,NA
1962-02-01,0,NA,NA,NA,NA,NA,NA,NA,NA,0.903292000293732,NA,NA,3.3,NA,3.81,4,NA,4.09,4.13,NA
1962-02-02,0,NA,NA,NA,NA,NA,NA,NA,NA,0.9115229845047,NA,NA,3.3,NA,3.77,3.97,NA,4.08,4.13,NA
1962-02-05,0,NA,NA,NA,NA,NA,NA,NA,NA,0.895062029361725,NA,NA,3.29,NA,3.77,3.96,NA,4.07,4.12,NA
1962-02-06,0,NA,NA,NA,NA,NA,NA,NA,NA,0.895062029361725,NA,NA,3.29,NA,3.77,3.96,NA,4.06,4.13,NA
1962-02-07,0,NA,NA,NA,NA,NA,NA,NA,NA,0.895062029361725,NA,NA,3.29,NA,3.77,3.95,NA,4.07,4.13,NA
1962-02-08,0,NA,NA,NA,NA,NA,NA,NA,NA,0.897118985652924,NA,NA,3.3,NA,3.75,3.93,NA,4.07,4.12,NA
1962-02-09,0,NA,NA,NA,NA,NA,NA,NA,NA,0.913580000400543,NA,NA,3.28,NA,3.73,3.91,NA,4.05,4.11,NA
1962-02-12,0,NA,NA,NA,NA,NA,NA,NA,NA,0.899177014827728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962-02-13,0,NA,NA,NA,NA,NA,NA,NA,NA,0.905350029468536,NA,NA,3.28,NA,3.72,3.91,NA,4.03,4.1,NA
1962-02-14,0,NA,NA,NA,NA,NA,NA,NA,NA,0.9115229845047,NA,NA,3.31,NA,3.71,3.9,NA,4.03,4.09,NA
1962-02-15,0,NA,NA,NA,NA,NA,NA,NA,NA,0.917694985866547,NA,NA,3.33,NA,3.71,3.9,NA,4.02,4.1,NA
1962-02-16,0,NA,NA,NA,NA,NA,NA,NA,NA,0.907406985759735,NA,NA,3.33,NA,3.69,3.88,NA,4.02,4.12,NA
1962-02-19,0,NA,NA,NA,NA,NA,NA,NA,NA,0.903292000293732,NA,NA,3.32,NA,3.67,3.86,NA,4.01,4.11,NA
1962-02-20,0,NA,NA,NA,NA,NA,NA,NA,NA,0.899177014827728,NA,NA,3.31,NA,3.67,3.88,NA,4.05,4.15,NA
1962-02-21,0,NA,NA,NA,NA,NA,NA,NA,NA,0.888889014720917,NA,NA,3.28,NA,3.64,3.86,NA,4.03,4.13,NA
1962-02-23,0,NA,NA,NA,NA,NA,NA,NA,NA,0.860081970691681,NA,NA,3.24,NA,3.6,3.83,NA,4.02,4.12,NA
1962-02-26,0,NA,NA,NA,NA,NA,NA,NA,NA,0.86419802904129,NA,NA,3.22,NA,3.58,3.8,NA,4,4.11,NA
1962-02-27,0,NA,NA,NA,NA,NA,NA,NA,NA,0.874486029148102,NA,NA,3.23,NA,3.57,3.8,NA,4.01,4.12,NA
1962-02-28,0,NA,NA,NA,NA,NA,NA,NA,NA,0.882716000080109,NA,NA,3.21,NA,3.53,3.77,NA,4,4.1,NA
1962-03-01,0,NA,NA,NA,NA,NA,NA,NA,NA,0.872427999973297,NA,NA,3.15,NA,3.44,3.71,NA,3.98,4.09,NA
1962-03-02,0,NA,NA,NA,NA,NA,NA,NA,NA,0.86419802904129,NA,NA,3.17,NA,3.48,3.72,NA,3.98,4.09,NA
1962-03-05,0,NA,NA,NA,NA,NA,NA,NA,NA,0.862139999866486,NA,NA,3.18,NA,3.53,3.74,NA,4,4.1,NA
1962-03-06,0,NA,NA,NA,NA,NA,NA,NA,NA,0.833333015441895,NA,NA,3.18,NA,3.52,3.74,NA,4.01,4.1,NA
1962-03-07,0,NA,NA,NA,NA,NA,NA,NA,NA,0.831275999546051,NA,NA,3.14,NA,3.52,3.74,NA,4,4.09,NA
1962-03-08,0,NA,NA,NA,NA,NA,NA,NA,NA,0.847737014293671,NA,NA,3.11,NA,3.51,3.72,NA,3.98,4.08,NA
1962-03-09,0,NA,NA,NA,NA,NA,NA,NA,NA,0.843621015548706,NA,NA,3.12,NA,3.53,3.71,NA,3.96,4.07,NA
1962-03-12,0,NA,NA,NA,NA,NA,NA,NA,NA,0.849793970584869,NA,NA,3.13,NA,3.54,3.73,NA,3.94,4.06,NA
1962-03-13,0,NA,NA,NA,NA,NA,NA,NA,NA,0.847737014293671,NA,NA,3.11,NA,3.53,3.7,NA,3.92,4.04,NA
1962-03-14,0,NA,NA,NA,NA,NA,NA,NA,NA,0.847737014293671,NA,NA,3.1,NA,3.53,3.72,NA,3.93,4.04,NA
